"RIGHT",1.3,6.7679,1.0697,0.264,3.95,1.14,8.0426,0.8617,0.277,2.56,0.87,1.5,26584,0.57075,0.224,0.0372,0.2694,0.583125,0.2489,0.0466,0.2693,0.2529,0.3294,0.528,0.2517,0.6144375,0.2481,0.6666666666666666666666666667,0.6153846153846153846153846154,0.7272727272727272727272727273,0.6666666666666666666666666667,0.6666666666666666666666666667,0.9,0.5555555555555555555555555556,24,0,0,9,"RIGHT",1.66,7.844,1.8991,0.315,5.78,2.73,9.8182,7.3636,0.421,9.82,2.14,3.75,28011,0.54025,0.2113,0.0269,0.2651,0.4101875,0.2648,0.0074,0.2322,0.2903,0.2903,0.3835625,0.3004,0.40625,0.2448,0.24,0.0769230769230769230769230769,0.4166666666666666666666666667,0.25,0.2352941176470588235294117647,0.2,0.2857142857142857142857142857,24,0,0,10,"Home"
"RIGHT",1.16,8.535,0.5506,0.246,3.12,1.35,8.2317,0.3293,0.265,3.95,1.5,1.25,19892,0.5862,0.2209,0.0275,0.2651,0.674333333333333,0.2146,0.0318,0.298,0.2812,0.2277,0.701533333333333,0.2609,0.632933333333333,0.2062,0.5769230769230769230769230769,0.5833333333333333333333333333,0.5714285714285714285714285714,0.75,0.5454545454545454545454545455,0.7,0.5714285714285714285714285714,24,0,0,11,"RIGHT",1.36,7.0681,1.0813,0.268,4.42,1.07,7.7586,0.3103,0.206,1.24,1.37,0.87,16052,0.585714285714286,0.2256,0.0303,0.2603,0.567357142857143,0.209,0.037,0.254,0.2587,0.2338,0.354,0.2117,0.597928571428571,0.2082,0.75,0.7,0.7857142857142857142857142857,0.8,0.7368421052631578947368421053,0.7,0.5,24,0,1,10,"Away"
"RIGHT",1.23,7.8147,1.1044,0.255,3.73,1.28,6,0.9231,0.246,3.23,1.09,1.5,22748,0.592846153846154,0.2306,0.0281,0.2633,0.527461538461538,0.2681,0.0261,0.2406,0.2895,0.2895,0.535461538461538,0.2788,0.484153846153846,0.2629,0.3846153846153846153846153846,0.3846153846153846153846153846,0.3846153846153846153846153846,0.4444444444444444444444444444,0.3529411764705882352941176471,0.4,0.375,24,0,3,9,"RIGHT",1.63,10.247,0.9759,0.32,6.18,1.64,14.4419,1.2558,0.323,7.98,1.57,1.7,12784,0.456666666666667,0.2012,0.0319,0.2821,0.478133333333333,0.206,0.0491,0.2758,0.2886,0.255,0.539266666666667,0.2289,0.468866666666667,0.1978,0.48,0.3333333333333333333333333333,0.6153846153846153846153846154,0.5,0.4705882352941176470588235294,0.4,0.2,24,0,2,9,"Home"
"RIGHT",1.29,7.4441,0.9458,0.247,4.06,1.17,7.2783,1.6435,0.204,3.05,1.1,1.24,15970,0.493375,0.2267,0.0384,0.2632,0.5340625,0.2741,0.0345,0.2397,0.3015,0.2279,0.616125,0.233,0.4961875,0.2921,0.4,0.4666666666666666666666666667,0.3,0.375,0.4117647058823529411764705882,0.3,0.6,24,0,1,9,"RIGHT",1.17,7.2432,1.0224,0.239,3.43,1.62,4.4471,1.2706,0.325,5.4,1.5,1.71,25266,0.490266666666667,0.165,0.0413,0.2817,0.478066666666667,0.1626,0.0361,0.2562,0.2734,0.1172,0.480466666666667,0.1345,0.5124,0.1788,0.4615384615384615384615384615,0.5,0.4285714285714285714285714286,0.5,0.4285714285714285714285714286,0.5,0.5,24,0,3,9,"Home"
"LEFT",1.27,7.0297,0.8008,0.257,3.66,1.57,7.2973,0.2432,0.284,5.11,0.83,1.83,12022,0.552538461538462,0.2344,0.0352,0.2599,0.521076923076923,0.2853,0.0465,0.245,0.2216,0.2994,0.506230769230769,0.2612,0.498153846153846,0.2916,0.3076923076923076923076923077,0.3636363636363636363636363636,0.2666666666666666666666666667,0.2,0.3333333333333333333333333333,0.3,0.4285714285714285714285714286,24,0,1,9,"RIGHT",1.71,13,2,0.257,6.75,1.71,13,2,0.257,6.75,2.2,1.15,15732,0.530357142857143,0.1893,0.0244,0.2707,0.475071428571429,0.2577,0.0291,0.2439,0.2303,0.2895,0.4055,0.2396,0.489928571428571,0.2608,0.3076923076923076923076923077,0.4285714285714285714285714286,0.1666666666666666666666666667,0.25,0.3181818181818181818181818182,0.3,0.3636363636363636363636363636,24,0,1,9,"Away"
"RIGHT",1.17,7.5459,0.6064,0.245,3.06,1.57,4.8119,1.0693,0.311,6.68,1.39,1.7,20707,0.662,0.1935,0.0343,0.2797,0.634533333333333,0.2413,0.0423,0.2699,0.3029,0.2163,0.509133333333334,0.2963,0.659733333333333,0.2274,0.5,0.4615384615384615384615384615,0.5384615384615384615384615385,0.25,0.5454545454545454545454545455,0.5,0.2,24,0,1,9,"RIGHT",1.28,6.794,1.2333,0.249,3.98,1.34,9.4787,2.0106,0.256,4.88,1.77,1.04,12638,0.614692307692308,0.2682,0.0408,0.2568,0.562538461538461,0.2584,0.026,0.2446,0.2319,0.2174,0.564384615384615,0.3203,0.563615384615385,0.2433,0.5769230769230769230769230769,0.6153846153846153846153846154,0.5384615384615384615384615385,0.8,0.5238095238095238095238095238,0.8,0.8,24,0,0,9,"Home"
"LEFT",1.22,8.2921,1.3146,0.212,3.54,1.29,7.1471,1.3235,0.203,3.97,1.68,1.17,19509,0.519470588235294,0.2104,0.0356,0.2665,0.500117647058824,0.2295,0.0269,0.2521,0.2829,0.2171,0.487941176470588,0.2135,0.490823529411765,0.2354,0.3846153846153846153846153846,0.5714285714285714285714285714,0.1666666666666666666666666667,0.4285714285714285714285714286,0.3684210526315789473684210526,0.2,0.6666666666666666666666666667,24,0,0,11,"RIGHT",1.18,7.4576,0.9045,0.24,3.3,1.13,8.7165,0.4252,0.259,3.61,1.18,1.1,23210,0.5444,0.1859,0.0241,0.2786,0.492933333333333,0.176,0.0289,0.2713,0.2905,0.1955,0.516733333333333,0.1872,0.467733333333333,0.1703,0.5185185185185185185185185185,0.5714285714285714285714285714,0.4615384615384615384615384615,0.4545454545454545454545454545,0.5625,0.7,0.5,24,0,3,9,"Away"
"RIGHT",1.38,6.4027,1.2081,0.272,4.11,1.33,7.9412,1.5882,0.263,4.4,1.16,1.54,18742,0.565066666666667,0.1839,0.0269,0.2601,0.458133333333333,0.1958,0.0315,0.2378,0.2647,0.2529,0.3998,0.1847,0.470666666666667,0.1987,0.4814814814814814814814814815,0.3571428571428571428571428571,0.6153846153846153846153846154,0.2,0.5454545454545454545454545455,0.3,0.5,24,0,3,9,"RIGHT",1.3,8.9548,1.4472,0.24,3.97,1.34,9.2118,1.5882,0.236,3.81,1.27,1.5,27540,0.587294117647059,0.1938,0.037,0.2731,0.488882352941176,0.2243,0.0417,0.2295,0.2139,0.2659,0.453235294117647,0.2143,0.461,0.2287,0.56,0.4166666666666666666666666667,0.6923076923076923076923076923,0.375,0.6470588235294117647058823529,0.7,0.5,24,0,3,9,"Away"
"RIGHT",1.29,6.3881,1.1025,0.256,4,1.61,6.8182,1.0909,0.295,5.73,1.57,1.63,28935,0.628538461538462,0.2031,0.0421,0.2599,0.614692307692308,0.2799,0.0382,0.2392,0.2384,0.343,0.608538461538461,0.2835,0.613230769230769,0.2787,0.4444444444444444444444444444,0.3846153846153846153846153846,0.5,0.4285714285714285714285714286,0.45,0.4,0.2222222222222222222222222222,24,0,0,9,"RIGHT",1.11,7.4968,1.3787,0.224,3.48,1,7.5484,0.5806,0.18,2.32,1.04,0.95,27660,0.511714285714286,0.1915,0.036,0.274,0.453714285714286,0.2113,0.0239,0.2634,0.3102,0.2193,0.4415,0.2264,0.458571428571429,0.2048,0.5769230769230769230769230769,0.6666666666666666666666666667,0.4545454545454545454545454545,0.5,0.6111111111111111111111111111,0.5,0.6666666666666666666666666667,24,0,1,9,"Away"
"RIGHT",1.43,7.8891,0.893,0.252,4.26,1.29,7.7143,0.4821,0.253,3.13,1.08,1.48,27271,0.530285714285714,0.1813,0.0238,0.2676,0.453071428571429,0.2101,0.0286,0.2524,0.1977,0.2326,0.4665,0.2067,0.451857142857143,0.211,0.52,0.6666666666666666666666666667,0.3846153846153846153846153846,0.5,0.5238095238095238095238095238,0.3,0.5714285714285714285714285714,24,0,1,9,"LEFT",1.31,8.7986,0.6944,0.236,3.56,0.99,7.4681,0.2872,0.195,1.15,1.5,0.88,17432,0.615076923076923,0.236,0.0333,0.2636,0.596230769230769,0.2385,0.0411,0.2368,0.2703,0.2342,0.519769230769231,0.2977,0.577076923076923,0.2222,0.72,0.6666666666666666666666666667,0.7692307692307692307692307692,0.75,0.7142857142857142857142857143,0.7,0.6666666666666666666666666667,24,0,0,9,"Away"
