"LEFT",1.28,7.0804,0.7889,0.263,3.82,1,3,0,0.238,4.5,0.6,1.15,15995,0.525066666666667,0.2011,0.0361,0.2777,0.5908,0.1707,0.0427,0.3415,0.4054,0.2162,0.5678,0.0909,0.569466666666667,0.1831,0.5,1,0.25,0,0.5,0.5,0.5,24,0,2,9,"LEFT",1.28,6.5898,0.8613,0.261,3.59,1,9.75,1.5,0.191,5.25,1.5,0.86,18207,0.577666666666667,0.1849,0.0285,0.2713,0.517916666666667,0.2103,0.0238,0.2579,0.1846,0.2462,0.572833333333333,0.2093,0.52425,0.2108,0.125,0.1666666666666666666666666667,0,0,0.25,0.125,0.5,24,0,2,9,"Away"
"RIGHT",1.33,7.4531,1.125,0.251,4.22,1.13,7.2,0,0.176,0,2.25,0.82,19714,0.538142857142857,0.1952,0.0397,0.2622,0.558428571428571,0.2722,0.0443,0.1962,0.1875,0.3438,0.7925,0.2857,0.457428571428571,0.2672,0.5,0.5,0.5,0.5,0.5,0.5,0,24,0,0,9,"LEFT",1.23,7.7508,0.8317,0.247,3.61,1.5,9,3,0.308,9,1.5,1.41,42342,0.659307692307692,0.1842,0.0351,0.2853,0.484153846153846,0.2313,0,0.2313,0.2,0.3333,0.587153846153846,0.25,0.475230769230769,0.2264,0.4,0,0.4,1,0.25,0.4,0,24,0,0,9,"Away"
"RIGHT",1.29,7.7159,1.2688,0.249,4.24,3,6.75,6.75,0.5,13.5,3,3,11294,0.560307692307692,0.2021,0.0189,0.2593,0.41,0.2375,0.0188,0.2312,0.0909,0.2121,0.403153846153846,0.2874,0.394230769230769,0.1781,0.2,0,0.3333333333333333333333333333,0.3333333333333333333333333333,0,0.2,0.3333333333333333333333333333,24,0,1,9,"RIGHT",1.32,8.3274,0.885,0.243,3.98,1.5,4.5,0,0.292,1.5,2.5,1,25663,0.592333333333333,0.1899,0.0348,0.2728,0.631833333333333,0.2569,0.0417,0.2986,0.3421,0.1842,0.621083333333333,0.2877,0.588333333333333,0.2254,0.6,0,0.6,0.3333333333333333333333333333,1,0.6,0,24,0,0,9,"Home"
"RIGHT",1.41,6.2516,0.6421,0.263,3.82,1.17,9,0,0.273,3,5,0.43,15022,0.598214285714286,0.2368,0.0328,0.2621,0.644357142857143,0.2356,0.0172,0.3391,0.375,0.2812,0.494857142857143,0.1714,0.603785714285714,0.2788,0.8333333333333333333333333333,0.8333333333333333333333333333,0,1,0.5,0.8333333333333333333333333333,0.5,24,0,0,9,"RIGHT",1.27,7.8901,1.1065,0.247,4.01,1.2,7.2,1.8,0.25,5.4,0.86,1.5,17624,0.569625,0.2286,0.0272,0.2606,0.3783125,0.25,0.0135,0.1892,0.1176,0.4118,0.2460625,0.2955,0.400375,0.2308,0.2,0.3333333333333333333333333333,0,1,0,0.2,0,24,0,3,9,"Away"
"RIGHT",1.23,7.9807,0.876,0.255,3.65,0.8,9,1.8,0.118,3.6,0.9,0.6,36822,0.605052631578947,0.1998,0.0301,0.2788,0.461894736842105,0.2757,0.0187,0.257,0.2698,0.3016,0.414368421052632,0.371,0.388842105263158,0.2368,0.5714285714285714285714285714,0,0.8,0.5,0.6,0.5714285714285714285714285714,1,24,0,3,9,"RIGHT",1.17,7.4983,0.7926,0.227,3.35,1.8,3.6,0,0.333,3.6,3,1.36,17751,0.673857142857143,0.1972,0.0296,0.2777,0.699714285714286,0.1934,0.0497,0.2762,0.3913,0.2174,0.660142857142857,0.1507,0.600857142857143,0.2222,0.8333333333333333333333333333,0,0.8333333333333333333333333333,0.6666666666666666666666666667,1,0.8333333333333333333333333333,0.5,24,0,3,9,"Home"
"RIGHT",1.31,4.9846,0.4154,0.219,1.8,0.8,5.4,0,0.211,0,1.09,0,5630,0.579083333333333,0.2124,0.0222,0.2595,0.52825,0.2624,0.0567,0.1915,0.1333,0.1333,0.40025,0.2766,0.556583333333333,0.2553,0.5,0.5,0,0.5,0.5,0.5,0,24,0,1,9,"LEFT",1.31,8.0266,0.7021,0.238,3.63,1.76,12.7059,1.5882,0.333,9.53,2.14,1.67,28410,0.690909090909091,0.1715,0.0428,0.293,0.601727272727273,0.2394,0.0319,0.2606,0.1765,0.3529,0.483727272727273,0.325,0.613545454545455,0.2162,0.3333333333333333333333333333,0,0.6666666666666666666666666667,0.5,0.25,0.3333333333333333333333333333,0,24,0,3,9,"Away"
"RIGHT",1.18,6.754,0.8792,0.248,3.4,0.67,7.5,1.5,0.143,3,1.09,0,44597,0.623,0.1702,0.0282,0.2915,0.501615384615385,0.25,0.0062,0.2688,0.2414,0.3793,0.687076923076923,0.1429,0.476076923076923,0.2727,0.5,0,0.5,1,0.4,0.5,0,24,0,0,9,"RIGHT",1.35,8.272,0.7373,0.24,3.93,1.33,9,3,0.227,6,0.6,2.25,17245,0.586090909090909,0.21,0.0389,0.2731,0.481363636363636,0.2197,0.0173,0.2197,0.1935,0.1613,0.558727272727273,0.2549,0.449545454545455,0.2049,0.3333333333333333333333333333,0.3333333333333333333333333333,0.3333333333333333333333333333,0.5,0.25,0.3333333333333333333333333333,0.3333333333333333333333333333,24,0,0,9,"Home"
"RIGHT",1.45,6.2199,1.2251,0.282,5.37,1.2,9,1.8,0.25,7.2,2,0.67,16407,0.625923076923077,0.2246,0.0377,0.2771,0.681615384615385,0.1641,0.0359,0.3179,0.2826,0.2391,0.591692307692308,0.0769,0.702230769230769,0.1958,0.4285714285714285714285714286,0.6666666666666666666666666667,0.25,0,0.5,0.4285714285714285714285714286,0.5,24,0,2,9,"RIGHT",1.51,8.4159,1.0376,0.282,4.88,1.69,10.8,0,0.292,1.69,1.33,2.14,14521,0.597076923076923,0.2602,0.0451,0.2536,0.688846153846154,0.2367,0.029,0.285,0.2414,0.3276,0.669307692307692,0.16,0.674615384615385,0.2611,0.5,0.6666666666666666666666666667,0.3333333333333333333333333333,0,0.6,0.5,0.3333333333333333333333333333,24,0,1,9,"Home"
"RIGHT",1.05,9.1268,0.6338,0.211,2.52,0.6,9.45,0,0.125,0,0.55,0.67,20750,0.661181818181818,0.1833,0.0303,0.2852,0.542636363636364,0.2083,0.0298,0.2024,0.1714,0.2,0.369818181818182,0.2667,0.544363636363636,0.187,0.5,0,0.5,0.5,0.5,0.5,0.5,24,0,1,9,"LEFT",1.07,10.6457,1.1571,0.191,2.7,0.57,11.5714,0,0.091,0,1,0.4,20563,0.690909090909091,0.2139,0.0388,0.2676,0.578,0.2683,0.0366,0.2317,0.25,0.2812,0.539727272727273,0.2188,0.524181818181818,0.2803,0.3333333333333333333333333333,0.3333333333333333333333333333,0.3333333333333333333333333333,1,0.2,0.3333333333333333333333333333,0.4,24,0,0,9,"Home"
"RIGHT",1.41,5.8568,1.1098,0.275,4.48,1,7.5,0,0.238,3,0.27,1.88,21377,0.476117647058823,0.1986,0.0293,0.2664,0.435235294117647,0.291,0.0106,0.2751,0.3333,0.2982,0.311058823529412,0.3019,0.457470588235294,0.2868,0.5,0,0.5,0.5,0.5,0.5,0.5,24,0,1,9,"LEFT",1.39,8.7953,1.0084,0.25,4.13,0.41,6.4286,0,0.12,0,1.5,0.17,14617,0.525714285714286,0.1857,0.0268,0.2607,0.533214285714286,0.2086,0.0245,0.2393,0.3256,0.186,0.283357142857143,0.2273,0.5795,0.2057,0.5,0.5,0,1,0.4,0.5,1,24,0,3,9,"Away"
