"RIGHT",1.22,7.9186,0.7663,0.235,3.39,3.1419,7.842,1057,1.36,7.0714,0.6429,0.204,1.93,42,1.33,3,0,0.111,3,1.29,7,1,0.211,2.89,1.2,8.1,0,0.167,0,22337,0.3938,0.1851,0.0268,0.2677,0.49276,0.2287,0.0273,0.2509,0.2519,0.2519,0.36444,0.1951,0.2073,0.0183,0.49332,0.2329,0.2518,0.0306,1.315,3.5775,8.3525,1.49,1194,4.0425,7.5528,1.145,0,0,0,0,0,0,48,0,0,9,0,0.15,24,81,"AMERICAN","RIGHT",1.3,6.7599,1.2567,0.248,4,3.1485,8.5194,2041,1.06,8.1818,0,0.25,2.38,33,0.5,6.75,0,0.182,6.75,0.9,6.75,1.35,0.208,2.7,0.93,12.5357,0,0.235,2.79,1788,0.200473684210526,0.2153,0.0207,0.2578,0.509263157894737,0.2,0.0333,0.2417,0.1667,0.2143,0.408368421052631,0.1509,0.3019,0.0377,0.468578947368421,0.2056,0.2243,0.028,0.563333333333333,1.97,8.3077,0.506666666666667,73,1.48,10.3562,0.693333333333333,0,0,0,0,0,0,48,0,0,9,1,0.1,14,53,"AMERICAN","Away"
"LEFT",1.14,8.5303,0.9994,0.238,3.27,2.2637,8.0155,5403,1.47,8.2174,2.3478,0.258,5.17,46,0.86,11.5714,1.9286,0.188,9.64,2,0,4.5,0.4,18,1.32,7.9138,1.8621,0.25,2.75,21376,0.4341,0.2153,0.0388,0.2701,0.56235,0.1827,0.0278,0.2485,0.2281,0.1813,0.4488,0.1409,0.2752,0.0067,0.52085,0.2014,0.2403,0.0318,0.985,3.82666666666667,8.6484,1.18333333333333,937,3.385,9.5955,1.425,0,0,0,0,0,0,48,0,0,9,0,0,12,44,"NATIONAL","RIGHT",1.31,6.8754,0.8754,0.25,3.92,3.3344,8.459,2745,1.6,10.8,0.6,0.344,3.6,45,1.14,7.7143,0,0.261,6.43,1.78,8,1,0.351,1,1.5,12.6,0,0.341,4.5,33051,0.42176,0.1848,0.0384,0.2836,0.41372,0.1652,0.0296,0.2835,0.3406,0.1739,0.4566,0.1623,0.2922,0.013,0.53776,0.1667,0.2865,0.0312,0.9375,2.685,7.56,0.7625,1876,2.3125,6.3182,1.3175,0,0,0,0,0,0,48,0,0,9,1,0.15,12,71,"AMERICAN","Away"
"RIGHT",1.29,7.7273,0.7727,0.238,3.22,3.4091,8.2273,594,1.5,8.3571,0,0.273,5.14,42,1.88,7.2,0,0.333,15.19,1.83,3.5217,0,0.303,3.52,1.16,11.7,0,0.231,5.23,26967,0.38104,0.1814,0.0242,0.2691,0.47364,0.1768,0.0342,0.3076,0.2686,0.2057,0.42564,0.2059,0.2706,0.0294,0.57548,0.1704,0.3109,0.0337,0.985,2.75333333333333,5.9341,0.873333333333333,3131,3.24333333333333,6.5279,0.325,0,0,0,0,0,0,48,0,1,9,2,0.1,15,45,"AMERICAN","RIGHT",1.27,8.5409,0.9374,0.243,3.85,3.2057,8.2516,2333,1.38,7.7885,4.1538,0.306,7.79,52,1.71,7.7143,3.8571,0.4,27,1.46,9,3,0.315,5.84,1.33,6,5,0.314,12,26504,0.435769230769231,0.2014,0.0283,0.2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,4046,3.1775,5.372,0,0,0,0,0,0,0,72,0,1,9,3,0.15,12,64,"AMERICAN","Home"
"LEFT",1.37,6.2938,0.9226,0.275,4.16,2.8497,9.5125,1317,1.18,4,1,0.235,1.93,27,0.64,7.7143,0,0.143,1.93,0.69,9,0,0.133,2.08,1.5,4.3548,0.871,0.302,1.69,10871,0.349916666666667,0.2354,0.0291,0.2537,0.483416666666666,0.2302,0.035,0.2928,0.3121,0.2548,0.453291666666667,0.2293,0.2732,0.0293,0.486,0.2364,0.2908,0.0353,0.975,1.595,8.5714,0.6675,1805,1.99,8.1374,0.5625,0,0,0,0,0,0,48,0,1,9,0,0.05,15,41,"AMERICAN","RIGHT",1.21,9.2731,0.7594,0.256,3.34,2.0984,8.8335,1351,1.07,9.8182,1.9636,0.221,3.38,55,1.5,9,0,0.231,9,0.98,10.3846,0,0.213,1.35,1.2,9,4.5,0.256,7.2,13119,0.351238095238095,0.2065,0.0328,0.257,0.512523809523809,0.1788,0.0373,0.2672,0.2754,0.1884,0.430380952380952,0.2077,0.2538,0.0308,0.451095238095238,0.1841,0.2762,0.0384,0.993333333333333,2.95666666666667,9.2687,1.29333333333333,384,5.21666666666667,8.8594,0.546666666666667,0,0,0,0,0,0,48,0,0,9,1,0.15,7,45,"AMERICAN","Home"
"RIGHT",1.33,5.7114,1.0747,0.273,4.28,2.4532,9.5544,7110,0.67,9,0,0.167,1.8,45,0.75,9,1.8,0.176,11.81,1.5,10,3,0.256,5.79,0.83,7.7143,0,0.2,3.72,27087,0.4275,0.1885,0.0377,0.2789,0.561833333333333,0.1903,0.0306,0.2986,0.3182,0.1818,0.624041666666667,0.1609,0.2816,0.0402,0.54375,0.2033,0.2967,0.0293,1.598,4.384,9.7377,0.618,617,2.02,8.8395,1.194,0,0,0,0,0,0,48,0,1,9,0,0.15,14,54,"NATIONAL","RIGHT",1.37,4.9163,1.1303,0.278,4.42,2.553,9.7535,3416,1.57,4.8,0,0.328,3.52,45,1,5.4,0,0.25,12.6,2.79,7.7143,1.9286,0.458,3.86,1.09,4.6957,0,0.25,4.02,22319,0.342678571428571,0.2192,0.0382,0.2748,0.321357142857143,0.2168,0.0291,0.2714,0.305,0.2199,0.368821428571428,0.2662,0.2662,0.0195,0.454964285714286,0.2071,0.2635,0.0329,1.03,1.01333333333333,6.8684,0.821666666666667,3329,2.57833333333333,9.7164,0.613333333333333,0,0,0,0,0,0,48,0,2,9,0,0.05,20,52,"NATIONAL","Away"
"RIGHT",1.19,7.4131,0.9238,0.239,3.27,2.7119,8.0017,3624,1,6,1,0.161,3,27,0.86,15.4286,0,0.25,15.43,1,9,0,0.111,0,1,7.5,1.5,0.217,9,28729,0.4334,0.1991,0.0316,0.2696,0.54432,0.2132,0.0295,0.2861,0.3297,0.2418,0.45032,0.2318,0.2532,0.0086,0.59928,0.2114,0.2886,0.0386,0.588333333333333,1.73833333333333,10,1.58,4576,4.585,8.5614,2.02833333333333,0,0,0,0,0,0,48,0,0,9,2,0.1,12,45,"NATIONAL","LEFT",1.33,9.1625,0.8126,0.24,4.07,3.8693,8.0868,3489,1,12,0,0.172,0,27,0,13.5,0,0,0,2.57,11.5714,0,0.3,0,0.62,10.6071,0.9643,0.161,0.93,13836,0.308,0.2425,0.0339,0.2566,0.43536,0.219,0.0397,0.2724,0.2695,0.2057,0.53404,0.2203,0.2881,0.0395,0.4298,0.2202,0.2592,0.0367,0.608,2.088,7.9535,0.752,2266,2.432,7.6496,0.98,0,0,0,0,0,0,48,0,0,9,4,0.2,19,63,"NATIONAL","Home"
"LEFT",1.06,9.4376,0.5356,0.209,2.48,2.7692,6.7598,4134,0.98,9.3103,0.4655,0.2,1.86,58,1.64,9.8182,0,0.167,7.36,0.71,15.8824,0,0.15,1.59,1.08,6.6122,0.551,0.203,1.62,42482,0.442666666666667,0.1779,0.0284,0.2752,0.510666666666667,0.1704,0.042,0.2789,0.2808,0.1921,0.500518518518519,0.1732,0.2559,0.0472,0.53337037037037,0.1734,0.2875,0.0406,0.85,2.31,9.6279,0.875,2567,2.19,7.8044,0.78,0,0,0,0,0,0,48,0,3,9,0,0.15,18,72,"NATIONAL","RIGHT",1.22,7.6618,1.0696,0.256,3.72,2.1298,8.8492,5730,0.92,11.5714,0.551,0.167,3.31,49,1.67,12,3,0.308,18,0.8,8.1,0,0.194,1.8,1.07,14,1,0.171,3.86,24300,0.391111111111111,0.2314,0.0344,0.2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03571428571429,5080,3.14142857142857,8.8494,0,0,0,0,0,0,0,48,0,3,9,0,0.05,18,54,"NATIONAL","Home"
"RIGHT",1.42,9,3,0.25,6,3.75,9,72,1.15,5.7115,0.5192,0.226,4.67,52,1.85,4.5,2.25,0.333,18.69,1.24,8.4,0.6,0.214,1.17,1,5.625,1.125,0.25,9,21973,0.46635294117647,0.1853,0.0269,0.2686,0.382352941176471,0.25,0.0312,0.25,0.6,0.2,0,0.5,0,0,0.411764705882353,0.2143,0.2857,0.0357,0.5,4.5,16.2,1.318,2699,3.466,10.4239,0,0,0,0,0,0,0,24,0,0,9,0,0.15,10,91,"AMERICAN","LEFT",1.27,6.881,1.205,0.262,3.86,2.2878,9.099,1546,1.05,4.1538,0.6923,0.245,2.03,39,0.6,5.4,0,0.167,7.2,0.38,9,0,0.118,0,1.42,3.6486,0.7297,0.304,3.55,15334,0.58,0.2189,0.0318,0.2678,0.541642857142857,0.3235,0.0882,0.2353,0.3333,0.3333,0.214285714285714,0,1,0,0.511928571428571,0.3333,0.2121,0.0909,2.625,6.75,15.4286,1.26,4483,3.59,6.8057,0.375,1,0,1,0,1,0,24,0,0,9,2,0.15,7,60,"AMERICAN","Away"
"RIGHT",1.27,7.5375,0.9832,0.248,3.81,2.9628,8.4739,4037,1.63,7.1053,1.4211,0.321,6.16,57,1.96,9.3913,1.1739,0.412,17.61,2.08,4.32,0,0.368,3.12,1.58,11.7692,2.0769,0.333,9.45,27428,0.628294117647059,0.1906,0.0373,0.2769,0.367647058823529,0.2727,0,0.2424,0,0.5,0.117647058823529,0.25,0.25,0,0.372529411764706,0.2759,0.2414,0,1.125,1.35,8.4375,1.53,2017,4.3975,8.6341,0.375,0,0,0,0,0,0,24,0,1,9,0,0.15,17,71,"NATIONAL","RIGHT",1.43,6.2404,1.1265,0.278,5.09,2.9146,9.9775,1510,0.71,5.5714,0.4286,0.118,0.86,63,1.06,7.9412,1.5882,0.2,6.35,1,5,0,0.121,3,0.83,6.2308,0.6923,0.146,0.68,22890,0.666666666666667,0.2172,0.0374,0.274,0.684466666666667,0.1429,0.0476,0.381,0.4118,0.0588,0.133333333333333,0.5,0.1,0,0.805533333333333,0.0312,0.4688,0.0625,0.5,0,13.5,1.31,2272,4.615,9.3644,0,1,0,1,0,1,0,24,0,2,9,1,0.1,6,58,"NATIONAL","Away"
"RIGHT",1.46,7.2414,1.0345,0.277,4.34,3.6207,9.569,522,1.36,9,0.6429,0.17,3.86,42,1.06,6.3529,0,0.158,7.94,1.68,5.625,1.125,0.2,4.32,0.88,10.6364,0,0.158,2.38,14645,0.640235294117647,0.1981,0.0283,0.2622,0.580411764705882,0.1765,0,0.2647,0.2857,0.4286,0.426411764705882,0.1481,0.2593,0,0.323529411764706,0.2857,0.2857,0,1.3575,0,6.2308,1.3175,6347,3.515,8.2017,0.75,0,0,0,0,0,0,24,0,2,9,0,0.05,13,55,"NATIONAL","RIGHT",1.4,6.7639,0.9345,0.264,4.42,3.4513,9.1049,2918,1.34,6.5172,1.8621,0.253,7.45,58,3,7.3636,9.8182,0.4,39.27,1.38,6.75,2.25,0.25,11.25,1.19,7.0714,1.2857,0.228,3.77,14918,0.557133333333333,0.1823,0.0207,0.2729,0.5778,0.1892,0,0.3514,0.3,0.3,0.166666666666667,0.3333,0.1111,0,0.6722,0.1429,0.4286,0,2.4,10.8,13.5,1.208,6829,3.212,7.4963,2.4,1,0,1,0,1,1,24,0,3,9,2,0.1,6,65,"NATIONAL","Home"
